playerID,firstName,lastName,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
605538,Matt,Wisler,7,3,18,38,16,7,1,6,21,5,0,30,0,.283,106,.313,.538,.851,1,1,.500,2,409,5.40,26.2,1,1,0,0,0,0,16,1.31,112,80,7,0,0,262,.640,0,0,1,0,57,0.47,.500,15.34,1,4.20,7.09,1.69,10.13,5.40,2.02,3,1,0,0,1
607030,Adam,McCreery,1,0,0,1,2,0,0,0,2,0,0,4,0,.571,7,.571,.571,1.142,0,0,.---,0,30,18.00,1.0,0,0,0,0,0,0,2,4.00,7,3,1,0,0,19,.630,0,0,0,0,4,0.00,.---,30.00,1,-.--,18.00,0.00,36.00,18.00,0.00,0,0,0,0,0
608331,Max,Fried,14,5,30,20,12,3,1,3,44,20,0,26,2,.224,116,.343,.345,.688,2,3,.600,4,571,2.94,33.2,1,4,0,0,1,0,11,1.37,142,101,14,0,0,346,.610,2,0,2,4,40,1.50,.200,16.96,5,2.20,11.76,5.35,6.95,3.21,0.80,0,0,0,2,2
608371,Lucas,Sims,6,0,10,11,9,2,0,2,10,8,1,12,1,.279,43,.404,.465,.869,0,0,.---,0,201,7.84,10.1,0,0,0,1,0,1,9,1.94,52,31,6,0,0,112,.560,1,0,0,0,20,0.91,.---,19.45,2,1.25,8.71,6.97,10.45,7.84,1.74,3,2,0,0,0
621345,A.J.,Minter,65,0,45,65,23,9,1,3,69,22,1,57,2,.244,234,.313,.329,.642,1,4,.800,3,1045,3.23,61.1,4,3,15,17,12,2,22,1.29,260,184,65,0,0,671,.640,2,0,5,0,77,0.69,.571,17.04,31,3.14,10.13,3.23,8.36,3.37,0.44,12,3,0,1,1
623465,Evan,Phillips,4,0,8,8,6,1,0,3,3,4,0,6,0,.240,25,.345,.640,.985,0,0,.---,0,104,8.53,6.1,0,0,0,0,0,0,6,1.58,29,19,4,0,0,65,.630,0,0,0,0,16,1.00,.---,16.42,4,0.75,4.26,5.68,8.53,8.53,4.26,6,0,0,0,0
627894,Luiz,Gohara,9,1,9,31,13,4,1,3,18,8,0,16,0,.222,72,.296,.431,.727,0,0,.---,0,302,5.95,19.2,0,1,1,1,0,0,13,1.22,82,59,9,0,0,196,.650,0,0,0,0,31,0.29,.000,15.36,3,2.25,8.24,3.66,7.32,5.95,1.37,2,1,0,1,1
641149,Wes,Parsons,1,0,3,8,4,1,0,1,3,3,1,6,0,.316,19,.391,.526,.917,1,0,.000,0,82,7.20,5.0,0,1,0,0,0,0,4,1.80,23,15,1,0,0,45,.550,0,0,0,0,10,0.38,.000,16.40,0,1.00,5.40,5.40,10.80,7.20,1.80,0,0,0,0,1
641438,Shane,Carle,53,0,77,61,22,15,0,2,43,27,7,50,1,.221,226,.302,.314,.616,0,5,1.000,9,957,2.86,63.0,4,1,1,2,14,1,20,1.22,259,189,53,0,0,615,.640,1,0,2,0,71,1.26,.800,15.19,8,1.59,6.14,3.86,7.14,3.14,0.29,28,9,0,1,4
647336,Michael,Soroka,5,5,31,24,14,10,0,1,21,7,0,30,0,.288,104,.330,.413,.743,0,1,1.000,3,405,3.51,25.2,2,1,0,0,0,0,10,1.44,113,77,5,0,0,258,.640,0,0,2,0,43,1.29,.667,15.78,0,3.00,7.36,2.45,10.52,4.91,0.35,0,0,0,1,1
656794,Sean,Newcomb,31,30,153,164,74,21,4,18,160,81,1,137,1,.226,607,.316,.362,.678,2,12,.857,13,2921,3.90,164.0,12,9,0,0,0,0,71,1.33,696,492,31,0,0,1786,.610,1,0,4,0,220,0.93,.571,17.81,0,1.98,8.78,4.45,7.52,4.06,0.99,0,0,0,4,3
656977,Chad,Sobotka,14,0,9,14,3,1,0,2,21,9,2,5,0,.104,48,.246,.250,.496,0,2,1.000,0,228,1.88,14.1,1,0,0,0,1,0,3,0.98,58,43,14,0,0,145,.640,0,0,3,0,12,0.64,1.000,15.91,5,2.33,13.19,5.65,3.14,1.88,1.26,9,1,0,1,0
657053,Touki,Toussaint,7,5,28,22,13,7,0,1,32,21,1,18,2,.182,99,.336,.283,.619,1,2,.667,4,476,4.03,29.0,2,1,0,0,0,0,13,1.34,123,87,7,0,0,276,.580,2,0,1,0,28,1.27,.667,16.41,1,1.52,9.93,6.52,5.59,4.03,0.31,0,0,0,1,0
657140,Kyle,Wright,4,0,5,8,3,0,0,2,5,6,0,4,0,.182,22,.357,.455,.812,0,1,1.000,0,128,4.50,6.0,0,0,0,0,0,0,3,1.67,28,18,4,0,0,66,.520,0,0,0,0,10,0.63,.---,21.33,1,0.83,7.50,9.00,6.00,4.50,3.00,0,0,0,0,0
663465,Kolby,Allard,3,1,7,13,12,2,0,3,3,4,0,19,1,.463,41,.522,.732,1.254,0,0,.---,1,161,12.38,8.0,1,1,0,0,0,0,11,2.88,47,24,3,0,0,95,.590,1,1,0,0,30,0.54,.500,20.13,0,0.75,3.38,4.50,21.38,13.50,3.38,0,0,0,1,0
669060,Bryse,Wilson,3,1,6,7,5,4,0,0,6,6,2,8,0,.308,26,.424,.462,.886,0,1,1.000,2,135,6.43,7.0,1,0,0,0,0,0,5,2.00,33,21,3,0,0,84,.620,0,0,0,0,12,0.86,1.000,19.29,2,1.00,7.71,7.71,10.29,6.43,0.00,0,0,0,0,1
