PitcherID,PitcherName,games,batters_faced,pitches,hits,doubles,triples,homeruns,strikeouts,outs,balls,strikes
458924,"Venters, Jonny",28,87,319,15,3,0,0,16,61,134,185
592426,"Jackson, Luke",35,184,708,41,10,1,3,46,122,266,442
641438,"Carle, Shane",53,259,957,50,15,0,2,43,189,342,615
